PMID,,PMCID,,Data-Location-country,Data-Location-org,Reason_country,Reason_affiliation,length(Affiliation)
32065482,?,7171404,,China,The First Affiliated Hospital of Shantou University Medical College,"WY, LX and GG conceived the concept and implemented the scheme.",,6
32098121,?,7073542,特殊格式,Spain,"University Hospital of Santiago de Compostela (SERGAS), University Hospital of Santiago de Compostela (SERGAS)","The study was carried out according to the rules of the Declaration of Helsinki of 1975, revised in 2013, and according to the standards for good clinical practice and other local ethical laws and regulations.",Too many,27
32098190,,7074104,,Switzerland,"Swiss Tropical and Public Health Institute (Swiss TPH), Division of Infectious Diseases, Center for Integrative Pediatrics","Even though the four collaborating CAM doctors were prominent CAM practitioners in their ﬁelds, they could not possibly represent the perspectives of all CAM providers in Switzerland, in particular the most hesitant providers.",Hospital is a better place to do trials than university.,15
32312323,,7171850,,Italy,San Marco Veterinary Clinic and Laboratory,"Samples of cats were sent from six veterinary diagnostic laboratories distributed throughout Italy to the Parasitology Unit of the Department of Veterinary Medicine, University of Bari (Italy).",Laboratory is prone to do experiment.,14
32328167,,7169130,,Australia,CSIRO Livestock Industries,HARD TO ANNOTATE,Australian Animal Health Laboratory,2
32352416,,7219304,,Prague-Czech Republic,University Hospital Kralovske Vinohrady and Third Faculty of Medicine,"This review has been funded by the University Hospital Královské Vinohrady (project InterCardis Reg. č. CZ.02.1.01/0.0/0.0/16_ 026/0008388) and the Third Faculty of Medicine, Charles University in Prague (Project Q38).",only one affiliation,2
32381047,,7206680,,Norway,Norwegian Veterinary Institute,"The current study was conducted at the Norwegian Veterinary Institute (NVI), Oslo. The Norwegian Animal Research Authority approved the experiment (FOTS IDs: 15042), and all procedures on fish were implemented according to the Norwegian Acts and Regulations regarding the use of fish in experimentation.",Institute makes more sense.,9
32432045,,7214632,网上数据,China,Zhejiang University School of Medicine,online dataset,only one affiliation,3
32477039,,7252429,,Ghana,African Centre for Clean Air,This was a cross-sectional study comprising objective measurements of airborne fine particulate matter (PM2.5 ) in hospitality venues across three cities in Ghana.,Institute makes more sense.,11
32547516,,7272583,,Norway,Norwegian Veterinary Institute,"Resulting genomic data was stored, assembled, and examined using the Abel Cluster (project no. NN9305k), owned by the University of Oslo and Uninett/Sigma2, and operated by the Department for Research Computing at USIT, the University of Oslo IT-department.",The paper is about salmon.,12
32580384,,7352894,"外语, 结构",Italy,Istituto Superiore di Sanità,These also included 19 sequences from Lombardy obtained by our group during a previous study [24] and considered as part of the study sequences (in total n = 92) (Table 1).,Laboratory is prone to do experiment.,13
32736522,,7394690,结构,India,Defence Food Research Laboratory,"The B. cereus ATCC 14579 strain and B. anthracis BA10 strain from Defence Food Research Laboratory (DFRL), Mysore, India repository were used as the negative and positive controls respectively, for all the PCR experiments.",only one affiliation,4
32969836,?,7585095,网上数据,China,Immune Cells and Antibody Engineering Research Center of Guizhou Province,online dataset,,12
33001978,,7553266,,Taiwan,National Pingtung University of Science and Technology,"Outbred ICR (Bltw:CD1) mice (BioLASCO Taiwan Co., LTD), around 10 weeks old, without any treatment from cooperating laboratories in National Pingtung University of Science and Technology,",The paper is about bacteria on animal.,5
33036449,,7601675,,Denmark,Technical University of Denmark,The surveillance program conducted in Denmark in 2017 to 2019 revealed that there is a high prevalence of PRV-3 in Danish aquaculture.,Institute makes more sense.,8
33072571,?,7538811,网上数据,China,Chinese PLA General Hospital,online dataset,Different departments of the same hospital.,6
33178587,,7596585,,China,Guangdong Provincial Key Laboratory of Stomatology,,Laboratory is prone to do experiment.,12
33193664,,7581905,,China,Information and Computer Engineering College,,only one affiliation,3
33215088,?,7660275,,Denmark,Aarhus University Hospital,"The study was performed at Aarhus University Hospital, Denmark, in the period October 1, 2016 to May 31, 2019.",Too many,13
33228674,?,7684709,,USA,University of South Florida,"As exempt, the requirement for informed consent was waived by the University of South Florida IRB.",The paper is about the role of the media on maternal confidence.,3
33233535,?,7712563,,Italy,University Hospital of Cagliari,"This study was performed in Cagliari, Sardinia (Italy) between 2015 and 2016.",,11
33302522,,7764348,,Italy,University of Pisa,"Between February 2018 and October 2019, 85 venous blood samples were collected from stray cats (37 females and 48 males), during ovariohysterectomy and orchiectomy activities conducted by veterinarians of the Italian National Health Service (local unit of Bologna).",only one affiliation,6
33303664,,7729412,,Kazakhstan,"M. Aikimbayev’s National Scientiﬁc Center for Especially Dangerous Infections, Institute for Integrative Biology of the Cell (I2BC)",We present a retrospective analysis of strains from two anthrax outbreaks in western Kazakhstan in 2009.,National center makes more sense.,8
33330624,,7732611,网上数据,China,Guizhou Medical University,online dataset,The paper is about head and neck.s,32
33333830,,7765319,,Italy,Veneto Institute of Oncology IOV-IRCCS,HARD TO ANNOTATE,Institute makes more sense.,6
33335272,,7747739,,Australia,Deakin University,,Center makes more sense than university.,8
33339404,,7766528,,Japan,Graduate School of Medical Sciences,,only one affiliation,8
33353183,,7766464,,Potland,Medical University of Lublin,"The study was conducted in 3 diﬀerent ecological habitats in eastern Poland (Lublin Province) in established plots marked with A, B and C (Figure 1)",only one affiliation,3
33381271,?,7765717,,China,"Tongji University,",HARD TO ANNOTATE,Different hospitals and different departments.,10
33396491,,7823254,,Saudi Arabia,"King Khalid University, Shahid Sadoughi University of Medical Sciences","Laboratory of Parasitology, Department of Biological Sciences, Faculty of Science and Humanities, Shaqra University",The paper studies pathogens of dogs and cats.,12
33407813,?,7789319,,Spain,"Instituto Universitario de Investigación en Gestión Forestal Sostenible, Instituto de Investigación en Recursos Cinegéticos","The study was conducted in intensively farmed landscapes in the Castilla-y-León region, Northwest Spain.",Institute makes more sense.,9
33455579,,7812637,,Thailand,Kasetsart University,"Animal ethic was approved by the Animal Ethics Committee of Kasetsart University. Bangkok, Thailand",only one affiliation,4
33474517,?,7811357,面对面调查数据,Ghana,"African Centre for Clean Air, Ghana Health Service",,Institute makes more sense.,12
