PMID,Author,Affiliation,length(Author),length(Affiliation),equal
25228814,"Takano Shingo,Ishikawa Eiichi,Nakai Kei,Matsuda Masahide,Masumoto Tomohiko,Yamamoto Tetsuya,Matsumura Akira","Department of Neurosurgery, Faculty of Medicine, University of Tsukuba, Tsukuba, Japan.$Department of Neurosurgery, Faculty of Medicine, University of Tsukuba, Tsukuba, Japan.$Department of Neurosurgery, Faculty of Medicine, University of Tsukuba, Tsukuba, Japan.$Department of Neurosurgery, Faculty of Medicine, University of Tsukuba, Tsukuba, Japan.$Department of Radiology, Faculty of Medicine, University of Tsukuba, Tsukuba, Japan.$Department of Neurosurgery, Faculty of Medicine, University of Tsukuba, Tsukuba, Japan.$Department of Neurosurgery, Faculty of Medicine, University of Tsukuba, Tsukuba, Japan.",7,7,True
25266919,"Oteo José A,Portillo Aránzazu,Portero Francisco,Zavala-Castro Jorge,Venzal José M,Labruna Marcelo B","Departamento de Enfermedades Infecciosas, Hospital San Pedro-Centro de Investigación Biomédica de La Rioja (CIBIR), C/ Piqueras 98, Logroño (La Rioja), 26006, Spain. jaoteo@riojasalud.es.",6,1,False
25477419,"Gillespie Joseph J,Driscoll Timothy P,Verhoeve Victoria I,Utsuki Tadanobu,Husseneder Claudia,Chouljenko Vladimir N,Azad Abdu F,Macaluso Kevin R","Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, Maryland jgillespie@som.umaryland.edu.$Department of Biology, Western Carolina University.$Department of Pathobiological Sciences, Louisiana State University, School of Veterinary Medicine.$Department of Pathobiological Sciences, Louisiana State University, School of Veterinary Medicine.$Department of Entomology, Louisiana State University Agricultural Center, Baton Rouge, Louisiana.$Department of Pathobiological Sciences, Louisiana State University, School of Veterinary Medicine.$Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, Maryland.$Department of Pathobiological Sciences, Louisiana State University, School of Veterinary Medicine.",8,8,True
25625931,"Paff Michelle,Alexandru-Abrams Daniela,Hsu Frank P K,Bota Daniela A","a Department of Neurological Surgery ; University of California, Irvine ; Orange , CA USA.",4,1,False
25649069,"Sainz Ángel,Roura Xavier,Miró Guadalupe,Estrada-Peña Agustín,Kohn Barbara,Harrus Shimon,Solano-Gallego Laia","Department of Animal Medicine and Surgery, Veterinary Clinic Hospital, Faculty of Veterinary Medicine, Universidad Complutense de Madrid, Madrid, Spain. angelehr@vet.ucm.es.$Hospital Clinic Veterinari, Universitat Autònoma de Barcelona, Barcelona, Spain. Xavier.Roura@uab.cat.$Department of Animal Health, Veterinary Clinic Hospital, Faculty of Veterinary Medicine, Universidad Complutense de Madrid, Madrid, Spain. gmiro@ucm.es.$Department of Animal Pathology, Faculty of Veterinary Medicine, University of Zaragoza, Zaragoza, Spain. aestrada@unizar.es.$Small Animal Clinic, Faculty of Veterinary Medicine, Freie Universität Berlin, Berlin, Germany. Barbara.Kohn@fu-berlin.de.$Koret School of Veterinary Medicine, The Hebrew University of Jerusalem, Rehovot, Israel. shimon.harrus@mail.huji.ac.il.$Departament de Medicina i Cirurgia Animal, Facultat de Veterinaria, Universitat Autònoma de Barcelona, Bellaterra, Spain. Laia.Solano@uab.cat.",7,7,True
25863554,"Staras Stephanie A S,Vadaparampil Susan T,Livingston Melvin D,Thompson Lindsay A,Sanders Ashley H,Shenkman Elizabeth A","Department of Health Outcomes and Policy, College of Medicine, University of Florida, Gainesville, Florida; Institute for Child Health Policy, University of Florida, Gainesville, Florida. Electronic address: sstaras@ufl.edu.$Health Outcomes and Behavior Program, H. Lee Moffitt Cancer Center, Tampa, Florida.$Department of Health Outcomes and Policy, College of Medicine, University of Florida, Gainesville, Florida; Institute for Child Health Policy, University of Florida, Gainesville, Florida.$Department of Health Outcomes and Policy, College of Medicine, University of Florida, Gainesville, Florida; Institute for Child Health Policy, University of Florida, Gainesville, Florida; Department of Pediatrics, University of Florida, Gainesville, Florida.$Department of Health Outcomes and Policy, College of Medicine, University of Florida, Gainesville, Florida; Institute for Child Health Policy, University of Florida, Gainesville, Florida.$Department of Health Outcomes and Policy, College of Medicine, University of Florida, Gainesville, Florida; Institute for Child Health Policy, University of Florida, Gainesville, Florida; Department of Pediatrics, University of Florida, Gainesville, Florida.",6,6,True
25887647,"Li Shijun,Ma Qing,Chen Hong,Wang Dingming,Liu Ying,Wei Xiaoyu,You Lv,Yao Guanghai,Tian Kecheng,Tang Guangpeng","Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China. zjumedjun@163.com.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.$Guiyang Centre for Animal Disease Control and Prevention, Guiyang, China.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.$Institute of communicable disease control and prevention, Guizhou Provincial Centre for Disease Control and Prevention, 101 Bageyan Road, Guiyang, 550004, Guizhou, People's Republic of China.",10,10,True
25935109,"Nagpal Seema,Recht Cathy Kahn,Bertrand Sophie,Thomas Reena Parada,Ajlan Abdulrazag,Pena Justine,Gershon Megan,Coffey Gwen,Kunz Pamela L,Li Gordon,Recht Lawrence D","Division of Neuro-Oncology, Department of Neurology, Stanford University, 875 Blake Wilbur Drive CC2221, Stanford, CA, 94305, USA, snagpal@stanford.edu.",11,1,False
26407720,"Fong Geoffrey T,Sansone Genevieve,Yan Mi,Craig Lorraine,Quah Anne C K,Jiang Yuan","Department of Psychology, University of Waterloo, Waterloo, Ontario, Canada Ontario Institute for Cancer Research, Toronto, Ontario, Canada School of Public Health and Health Systems, University of Waterloo, Waterloo, Ontario, Canada.$Department of Psychology, University of Waterloo, Waterloo, Ontario, Canada.$Department of Psychology, University of Waterloo, Waterloo, Ontario, Canada.$Department of Psychology, University of Waterloo, Waterloo, Ontario, Canada.$Department of Psychology, University of Waterloo, Waterloo, Ontario, Canada.$Tobacco Control Office, Chinese Center for Disease Control and Prevention, Beijing, China.",6,6,True
26684199,"van Duijvendijk Gilian,Sprong Hein,Takken Willem","Laboratory of Entomology, Wageningen University and Research Centre, Wageningen, The Netherlands. gilian.vanduijvendijk@wur.nl.$Laboratory for Zoonosis and Environmental Microbiology, National Institute for Public Health and Environment (RIVM), Bilthoven, The Netherlands. hein.sprong@rivm.nl.$Laboratory of Entomology, Wageningen University and Research Centre, Wageningen, The Netherlands. willem.takken@wur.nl.",3,3,True
26730591,"Garver Kyle A,Johnson Stewart C,Polinski Mark P,Bradshaw Julia C,Marty Gary D,Snyman Heindrich N,Morrison Diane B,Richard Jon","Pacific Biological Station, Department of Fisheries and Oceans, Nanaimo, British Columbia, Canada.$Pacific Biological Station, Department of Fisheries and Oceans, Nanaimo, British Columbia, Canada.$Pacific Biological Station, Department of Fisheries and Oceans, Nanaimo, British Columbia, Canada.$Pacific Biological Station, Department of Fisheries and Oceans, Nanaimo, British Columbia, Canada.$Animal Health Centre, Ministry of Agriculture, Abbotsford, British Columbia, Canada.$Animal Health Centre, Ministry of Agriculture, Abbotsford, British Columbia, Canada.$Marine Harvest Canada, Campbell River, British Columbia, Canada.$Pacific Biological Station, Department of Fisheries and Oceans, Nanaimo, British Columbia, Canada.",8,8,True
27091337,"Rodrigues Filipe Brogueira,Neves Joana Briosa,Caldeira Daniel,Ferro José M,Ferreira Joaquim J,Costa João","Laboratory of Clinical Pharmacology and Therapeutics, Faculty of Medicine, University of Lisbon, Av Prof Egas Moniz 1649-035, Lisbon, Portugal Clinical Pharmacology Unit, Instituto de Medicina Molecular, Lisbon, Portugal Department of Medicine, Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, Portugal filipebrodrigues@gmail.com.$Department of Medicine, Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, Portugal.$Laboratory of Clinical Pharmacology and Therapeutics, Faculty of Medicine, University of Lisbon, Av Prof Egas Moniz 1649-035, Lisbon, Portugal Clinical Pharmacology Unit, Instituto de Medicina Molecular, Lisbon, Portugal.$Department of Neurosciences, Neurology, Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, Portugal.$Laboratory of Clinical Pharmacology and Therapeutics, Faculty of Medicine, University of Lisbon, Av Prof Egas Moniz 1649-035, Lisbon, Portugal Clinical Pharmacology Unit, Instituto de Medicina Molecular, Lisbon, Portugal Department of Neurosciences, Neurology, Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, Portugal.$Laboratory of Clinical Pharmacology and Therapeutics, Faculty of Medicine, University of Lisbon, Av Prof Egas Moniz 1649-035, Lisbon, Portugal Clinical Pharmacology Unit, Instituto de Medicina Molecular, Lisbon, Portugal Center for Evidence-Based Medicine, Faculty of Medicine, University of Lisbon, Portugal Portuguese Collaborating Center of the IberoAmerican Cochrane Network, Faculty of Medicine, University of Lisbon, Portugal.",6,6,True
27110809,"Beaty Shannon M,Lee Benhur","Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA. shannon.beaty@icahn.mssm.edu.$Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA. benhur.lee@mssm.edu.",2,2,True
27296722,"Godoy Marcos G,Kibenge Molly J T,Wang Yingwei,Suarez Rudy,Leiva Camila,Vallejos Francisco,Kibenge Frederick S B","Centro de Investigaciones Biológicas Aplicadas (CIBA), Diego de Almagro Norte 1013, No. 8, Puerto Montt, Chile.$Facultad de Ciencias, Universidad San Sebastián, Lago Panguipulli 1390, Puerto Montt, Chile.$ETECMA, Diego de Almagro Norte 1013, No. 10, Puerto Montt, Chile.$Doctorado en Acuicultura, Programa Cooperativo Universidad de Chile, Universidad Católica del Norte, Antofagasta, Chile.$Doctorado en Acuicultura, Programa Cooperativo Universidad de Chile, Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile.$Department of Pathology and Microbiology, Atlantic Veterinary College, University of Prince Edward Island, 550 University Ave, Charlottetown, PEI, C1A 4P3, Canada.$School of Mathematical and Computational Sciences, University of Prince Edward Island, 550 University Ave, Charlottetown, PEI, C1A 4P3, Canada.$Centro de Investigaciones Biológicas Aplicadas (CIBA), Diego de Almagro Norte 1013, No. 8, Puerto Montt, Chile.$ETECMA, Diego de Almagro Norte 1013, No. 10, Puerto Montt, Chile.$Centro de Investigaciones Biológicas Aplicadas (CIBA), Diego de Almagro Norte 1013, No. 8, Puerto Montt, Chile.$, Present Address: Aquagestión S.A. Panamericana Sur 428, Puerto Montt, Chile.$Friosur, Aysen, Chile.$Department of Pathology and Microbiology, Atlantic Veterinary College, University of Prince Edward Island, 550 University Ave, Charlottetown, PEI, C1A 4P3, Canada. kibenge@upei.ca.",7,13,False
27474020,"Movilla Rebeca,García Carlos,Siebert Susanne,Roura Xavier","Hospital Clínic Veterinari, Universitat Autònoma de Barcelona, Carrer de l'Hospital, 08193 Cerdanyola del Vallès, Barcelona, Spain. rebeca.movilla@uab.cat.$Facultad de Medicina Veterinaria y Zootecnia, Facultad de Estudios Superiores Cuatitlán UNAM, Mexico Ciudad Universitaria, 04510, Mexico City D.F., Mexico.$Bayer Animal Health GmbH, 40789 Monheim and Marketing Companion Animal Products (CAP), InternationalBuilding 6210, 2.56, 51368, Leverkusen, Germany.$Hospital Clínic Veterinari, Universitat Autònoma de Barcelona, Carrer de l'Hospital, 08193 Cerdanyola del Vallès, Barcelona, Spain.",4,4,True
27677796,"Sahl Jason W,Pearson Talima,Okinaka Richard,Schupp James M,Gillece John D,Heaton Hannah,Birdsell Dawn,Hepp Crystal,Fofanov Viacheslav,Noseda Ramón,Fasanella Antonio,Hoffmaster Alex,Wagner David M,Keim Paul","Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA.$Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA.$Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA.$Division of Pathogen Genomics, The Translational Genomics Research Institute, Flagstaff, Arizona, USA.$Division of Pathogen Genomics, The Translational Genomics Research Institute, Flagstaff, Arizona, USA.$Division of Pathogen Genomics, The Translational Genomics Research Institute, Flagstaff, Arizona, USA.$Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA.$Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA School of Informatics, Computing and Cyber Systems, Northern Arizona University, Flagstaff, Arizona, USA.$Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA School of Informatics, Computing and Cyber Systems, Northern Arizona University, Flagstaff, Arizona, USA.$Laboratorio Azul, Azul, Buenos Aires. Argentina.$Istituto Zooprofilattico Sperimentale of Puglia and Basilicata, Foggia, Italy.$Centers for Disease Control and Prevention, Atlanta, Georgia, USA.$Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA.$Center for Microbial Genetics and Genomics, Northern Arizona University, Flagstaff, Arizona, USA Division of Pathogen Genomics, The Translational Genomics Research Institute, Flagstaff, Arizona, USA PaulKeim@nau.edu.",14,14,True
27986081,"Jacquet Maxime,Margos Gabriele,Fingerle Volker,Voordouw Maarten J","Laboratory of Ecology and Evolution of Parasites, Institute of Biology, University of Neuchâtel, Neuchâtel, Switzerland.$National Reference Centre for Borrelia, Munich, Oberschleissheim, Germany.$Bavarian Health and Food Safety Authority, Munich, Oberschleissheim, Germany.$National Reference Centre for Borrelia, Munich, Oberschleissheim, Germany.$Bavarian Health and Food Safety Authority, Munich, Oberschleissheim, Germany.$Laboratory of Ecology and Evolution of Parasites, Institute of Biology, University of Neuchâtel, Neuchâtel, Switzerland. maarten.voordouw@unine.ch.",4,6,False
28068343,"Maleki-Ravasan Naseh,Solhjouy-Fard Samaneh,Beaucournu Jean-Claude,Laudisoit Anne,Mostafavi Ehsan","Malaria and Vector Research Group, Biotechnology Research Center, Pasteur Institute of Iran, Tehran, Iran.$Research Centre for Emerging and Reemerging infectious diseases, Pasteur Institute of Iran, Akanlu, Kabudar Ahang, Hamadan, Iran.$Department of Epidemiology and Biostatistics, Pasteur institute of Iran, Tehran, Iran.$University of Rennes, France Faculty of Medicine, and Western Insitute of Parasitology, Rennes, France.$Evolutionary Biology group, University of Antwerp, Antwerp, Belgium.$School of Biological Sciences, University of Liverpool, Liverpool, United Kingdom.$CIFOR, Jalan Cifor, Situ Gede, Sindang Barang, Bogor Bar., Jawa Barat, Indonesia.$Research Centre for Emerging and Reemerging infectious diseases, Pasteur Institute of Iran, Akanlu, Kabudar Ahang, Hamadan, Iran.$Department of Epidemiology and Biostatistics, Pasteur institute of Iran, Tehran, Iran.",5,9,False
28526093,"Herrin Brian H,Peregrine Andrew S,Goring Jonas,Beall Melissa J,Little Susan E","Department of Veterinary Pathobiology, Center for Veterinary Health Sciences, Oklahoma State University, Stillwater, OK, USA. brian.h.herrin@okstate.edu.$Department of Pathobiology, Ontario Veterinary College, University of Guelph, Guelph, ON, Canada.$IDEXX Laboratories, Inc, Westbrook, ME, USA.$IDEXX Laboratories, Inc, Westbrook, ME, USA.$Department of Veterinary Pathobiology, Center for Veterinary Health Sciences, Oklahoma State University, Stillwater, OK, USA.",5,5,True
28840825,"Amendola Antonella,Bianchi Silvia,Frati Elena R,Ciceri Giulia,Faccini Marino,Senatore Sabrina,Colzani Daniela,Lamberti Anna,Baggieri Melissa,Cereda Danilo,Gramegna Maria,Nicoletti Loredana,Magurano Fabio,Tanzi Elisabetta","Department of Biomedical Sciences for Health, University of Milan, Milan, Italy.$Coordinated Research Center 'EpiSoMI', University of Milan, Milan, Italy.$Department of Biomedical Sciences for Health, University of Milan, Milan, Italy.$Department of Biomedical Sciences for Health, University of Milan, Milan, Italy.$Department of Biomedical Sciences for Health, University of Milan, Milan, Italy.$Health Protection Agency, Metropolitan Area of Milan, Milan, Italy.$Health Protection Agency, Metropolitan Area of Milan, Milan, Italy.$Department of Biomedical Sciences for Health, University of Milan, Milan, Italy.$Health Protection Agency, Metropolitan Area of Milan, Milan, Italy.$National Reference Laboratory for Measles and Rubella, Istituto Superiore di Sanità, Rome, Italy.$DG Salute, UO Governo della prevenzione e tutela sanitaria, Lombardy Region, Milan, Italy.$DG Salute, UO Governo della prevenzione e tutela sanitaria, Lombardy Region, Milan, Italy.$National Reference Laboratory for Measles and Rubella, Istituto Superiore di Sanità, Rome, Italy.$National Reference Laboratory for Measles and Rubella, Istituto Superiore di Sanità, Rome, Italy.$Department of Biomedical Sciences for Health, University of Milan, Milan, Italy.$Coordinated Research Center 'EpiSoMI', University of Milan, Milan, Italy.",14,16,False
28920573,"Kurchatova Anna,Krumova Stefka,Vladimirova Nadezhda,Nikolaeva-Glomb Lubomira,Stoyanova Asya,Kantardjiev Todor,Gatcheva Nina","National Centre of Infectious and Parasitic Diseases, Sofia, Bulgaria.$National Centre of Infectious and Parasitic Diseases, Sofia, Bulgaria.$National Centre of Infectious and Parasitic Diseases, Sofia, Bulgaria.$National Centre of Infectious and Parasitic Diseases, Sofia, Bulgaria.$National Centre of Infectious and Parasitic Diseases, Sofia, Bulgaria.$National Centre of Infectious and Parasitic Diseases, Sofia, Bulgaria.$Bulgarian Association for Prevention and Infection Control - BulNoso, NGO, Sofia, Bulgaria.",7,7,True
